run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,view_history,correct,image_click,points,sd,points2,total_earn,button_pressed,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
210,1,true,false,"""","""","""",preload,0,1196,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",html-keyboard-response,1,48906,0.0-1.0,47707,"<font size=15>Welcome to our experiment!</font><br><br><br><i> Press <b>space bar</b> to begin.</i>",32,"""","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",survey-multi-choice,2,60966,0.0-2.0,12053,"""","""","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes""}","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",survey-html-form,3,74781,0.0-3.0,13808.5,"""","""","{""gender"":""female"",""age"":""21"",""hand"":""right"",""mail"":""6112c8ac433bc260943bb75e""}","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,true,"""","""","""","""",fullscreen,4,88167,0.0-4.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",multikey-instructions,5,379259,0.0-5.0,291088,"""","""","""","[{""page_index"":0,""viewing_time"":86884},{""page_index"":1,""viewing_time"":21496},{""page_index"":2,""viewing_time"":19209},{""page_index"":3,""viewing_time"":16635},{""page_index"":4,""viewing_time"":23417},{""page_index"":5,""viewing_time"":11610},{""page_index"":6,""viewing_time"":9377},{""page_index"":7,""viewing_time"":4883},{""page_index"":8,""viewing_time"":29529},{""page_index"":9,""viewing_time"":8432},{""page_index"":10,""viewing_time"":27033},{""page_index"":11,""viewing_time"":17204},{""page_index"":10,""viewing_time"":12792},{""page_index"":11,""viewing_time"":2586}]","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",sampler,6,400693,0.0-6.0-0.0,21025,img/Cobalt.png,"""","""","""",false,-1,0.06257468410054479,5,"""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",sampler,7,400697,0.0-6.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",sampler,8,400697,0.0-6.0-2.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
210,1,"""","""","""","""","""",sampler,9,400697,0.0-6.0-3.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 22:30:13",189.218.23.19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Macintosh,Chrome,92.0.4515.131,"OS X",10_15_7,5f461dd6c139dd6b46c7596cbd57cd79
