"","delta","safeReward","sigma","time","threshold"
"1",90,0.25,5,0,-25
"2",90,0.25,5,1,-20.5
"3",90,0.25,5,2,-16
"4",90,0.25,5,3,-11.4
"5",90,0.25,5,4,-6.8
"6",90,0.25,5,5,-2.09999999999999
"7",90,0.25,5,6,2.59999999999999
"8",90,0.25,5,7,7.3
"9",90,0.25,5,8,12.1
"10",90,0.25,5,9,16.9
"11",90,0.25,5,10,21.9
"12",90,0.25,5,11,26.8
"13",90,0.25,5,12,31.9
"14",90,0.25,5,13,37.1
"15",90,0.25,5,14,42.4
"16",90,0.25,5,15,47.9
"17",90,0.25,5,16,53.6
"18",90,0.25,5,17,59.6
"19",90,0.25,5,18,66.2
"20",90,0.25,5,19,73.8
"21",90,0.25,5,20,90
"22",90,0.25,10,0,-40.1
"23",90,0.25,10,1,-36.1
"24",90,0.25,10,2,-32
"25",90,0.25,10,3,-27.8
"26",90,0.25,10,4,-23.6
"27",90,0.25,10,5,-19.3
"28",90,0.25,10,6,-14.9
"29",90,0.25,10,7,-10.4
"30",90,0.25,10,8,-5.90000000000001
"31",90,0.25,10,9,-1.2
"32",90,0.25,10,10,3.7
"33",90,0.25,10,11,8.59999999999999
"34",90,0.25,10,12,13.8
"35",90,0.25,10,13,19.2
"36",90,0.25,10,14,24.8
"37",90,0.25,10,15,30.7
"38",90,0.25,10,16,37.2
"39",90,0.25,10,17,44.2
"40",90,0.25,10,18,52.3
"41",90,0.25,10,19,62.6
"42",90,0.25,10,20,90
"43",90,0.5,5,0,-10
"44",90,0.5,5,1,-6.3
"45",90,0.5,5,2,-2.59999999999999
"46",90,0.5,5,3,1.2
"47",90,0.5,5,4,5
"48",90,0.5,5,5,8.90000000000001
"49",90,0.5,5,6,12.8
"50",90,0.5,5,7,16.9
"51",90,0.5,5,8,21
"52",90,0.5,5,9,25.1
"53",90,0.5,5,10,29.4
"54",90,0.5,5,11,33.7
"55",90,0.5,5,12,38.1
"56",90,0.5,5,13,42.7
"57",90,0.5,5,14,47.4
"58",90,0.5,5,15,52.2
"59",90,0.5,5,16,57.2
"60",90,0.5,5,17,62.6
"61",90,0.5,5,18,68.4
