"","giving up threshold","time","success threshold","sigma","safe"
"1",-33.245,0,90,5,0.25
"2",-28.55,1,90,5,0.25
"3",-23.81,2,90,5,0.25
"4",-19.02,3,90,5,0.25
"5",-14.175,4,90,5,0.25
"6",-9.28,5,90,5,0.25
"7",-4.31999999999999,6,90,5,0.25
"8",0.705000000000017,7,90,5,0.25
"9",5.80000000000002,8,90,5,0.25
"10",10.98,9,90,5,0.25
"11",16.25,10,90,5,0.25
"12",21.625,11,90,5,0.25
"13",27.125,12,90,5,0.25
"14",32.77,13,90,5,0.25
"15",38.595,14,90,5,0.25
"16",44.64,15,90,5,0.25
"17",50.99,16,90,5,0.25
"18",57.76,17,90,5,0.25
"19",65.205,18,90,5,0.25
"20",74,19,90,5,0.25
"21",90,20,90,5,0.25
"22",-23.245,0,100,5,0.25
"23",-18.55,1,100,5,0.25
"24",-13.81,2,100,5,0.25
"25",-9.02,3,100,5,0.25
"26",-4.17500000000001,4,100,5,0.25
"27",0.720000000000003,5,100,5,0.25
"28",5.68000000000001,6,100,5,0.25
"29",10.705,7,100,5,0.25
"30",15.8,8,100,5,0.25
"31",20.98,9,100,5,0.25
"32",26.25,10,100,5,0.25
"33",31.625,11,100,5,0.25
"34",37.125,12,100,5,0.25
"35",42.77,13,100,5,0.25
"36",48.595,14,100,5,0.25
"37",54.64,15,100,5,0.25
"38",60.99,16,100,5,0.25
"39",67.76,17,100,5,0.25
"40",75.205,18,100,5,0.25
"41",84,19,100,5,0.25
"42",100,20,100,5,0.25
"43",-13.245,0,110,5,0.25
"44",-8.55000000000001,1,110,5,0.25
"45",-3.81,2,110,5,0.25
"46",0.979999999999994,3,110,5,0.25
"47",5.82499999999999,4,110,5,0.25
"48",10.72,5,110,5,0.25
"49",15.68,6,110,5,0.25
"50",20.705,7,110,5,0.25
"51",25.8,8,110,5,0.25
"52",30.98,9,110,5,0.25
"53",36.25,10,110,5,0.25
"54",41.625,11,110,5,0.25
"55",47.125,12,110,5,0.25
"56",52.77,13,110,5,0.25
"57",58.595,14,110,5,0.25
"58",64.64,15,110,5,0.25
"59",70.99,16,110,5,0.25
"60",77.76,17,110,5,0.25
"61",85.205,18,110,5,0.25
"62",94,19,110,5,0.25
"63",110,20,110,5,0.25
