"opt","choice_num","thresh","sd","safe_pay","myo"
-28.55,1,90,"5","0.25",-20.5
-23.81,2,90,"5","0.25",-16
-19.02,3,90,"5","0.25",-11.4
-14.175,4,90,"5","0.25",-6.8
-9.28,5,90,"5","0.25",-2.09999999999999
-4.31999999999999,6,90,"5","0.25",2.59999999999999
0.705000000000017,7,90,"5","0.25",7.3
5.80000000000002,8,90,"5","0.25",12.1
10.98,9,90,"5","0.25",16.9
16.25,10,90,"5","0.25",21.9
21.625,11,90,"5","0.25",26.8
27.125,12,90,"5","0.25",31.9
32.77,13,90,"5","0.25",37.1
38.595,14,90,"5","0.25",42.4
44.64,15,90,"5","0.25",47.9
50.99,16,90,"5","0.25",53.6
57.76,17,90,"5","0.25",59.6
65.205,18,90,"5","0.25",66.2
74,19,90,"5","0.25",73.8
90,20,90,"5","0.25",90
-18.55,1,100,"5","0.25",-36.1
-13.81,2,100,"5","0.25",-32
-9.02,3,100,"5","0.25",-27.8
-4.17500000000001,4,100,"5","0.25",-23.6
0.720000000000003,5,100,"5","0.25",-19.3
5.68000000000001,6,100,"5","0.25",-14.9
10.705,7,100,"5","0.25",-10.4
15.8,8,100,"5","0.25",-5.90000000000001
20.98,9,100,"5","0.25",-1.2
26.25,10,100,"5","0.25",3.7
31.625,11,100,"5","0.25",8.59999999999999
37.125,12,100,"5","0.25",13.8
42.77,13,100,"5","0.25",19.2
48.595,14,100,"5","0.25",24.8
54.64,15,100,"5","0.25",30.7
60.99,16,100,"5","0.25",37.2
67.76,17,100,"5","0.25",44.2
75.205,18,100,"5","0.25",52.3
84,19,100,"5","0.25",62.6
100,20,100,"5","0.25",90
-8.55000000000001,1,110,"5","0.25",-6.3
-3.81,2,110,"5","0.25",-2.59999999999999
0.979999999999994,3,110,"5","0.25",1.2
5.82499999999999,4,110,"5","0.25",5
10.72,5,110,"5","0.25",8.90000000000001
15.68,6,110,"5","0.25",12.8
20.705,7,110,"5","0.25",16.9
25.8,8,110,"5","0.25",21
30.98,9,110,"5","0.25",25.1
36.25,10,110,"5","0.25",29.4
41.625,11,110,"5","0.25",33.7
47.125,12,110,"5","0.25",38.1
52.77,13,110,"5","0.25",42.7
58.595,14,110,"5","0.25",47.4
64.64,15,110,"5","0.25",52.2
70.99,16,110,"5","0.25",57.2
77.76,17,110,"5","0.25",62.6
