"subjID" "success_total" "safe_wins_total" "pennies_total" "prolificID"
"1" 184 18 41 221 "6111513c9fb2ced78dcfe88d"
"2" 185 9 67.1 157.1 "592a232ed13ea60001553e51"
"3" 186 4 84.2 124.2 "611150d702250a12140ff4c2"
"4" 189 24 29.5 269.5 "61114785f4e432e2f2c827fd"
"5" 190 22 23.1 243.1 "\"611151f93c25408e769a592"
"6" 193 4 2.8 42.8 "6102fa6ac8cbdc103f608441"}"
"7" 194 15 21 171 "10e4fb281cfbf0d43c41a17\"
"8" 195 10 86.1 186.1 "6116422e3fd768e0eb82fa98"
"9" 196 10 31.6 131.6 "611298afe84cbd1ddd21cb21"
"10" 197 20 46 246 "11147368fb66dd6819f1ad8\"
"11" 200 6 77.9 137.9 "6109a9ea99dda4227ac80f83"
"12" 203 0 119.7 119.7 "610eb2deab587b7f98373a13"
"13" 204 17 37.9 207.9 "6112b093393c6ce7986b44fe"
"14" 206 10 44.3 144.3 "610795c7a6803ff41ecf23ec"
"15" 207 25 36.5 286.5 "10e4fb281cfbf0d43c41a17\"
"16" 208 20 44 244 "6112b093393c6ce7986b44fe"
"17" 209 0 120 120 "610eb2deab587b7f98373a13"
"18" 210 13 43.8 173.8 "6112c8ac433bc260943bb75e"
"19" 211 10 39.7 139.7 "610832fe5bba00be3dba6721"
"20" 215 15 42.6 192.6 "610d31377289ce12d4b62091"
"21" 217 21 22.6 232.6 "5ec6d06c67b0da0fb6f85e83"
"22" 218 6 96.3 156.3 "5bef1ca4a79efb0001fafb88"
"23" 219 7 64.6 134.6 "f5bca237a4abb370a310830\"
"24" 220 14 67.6 207.6 "606ed2e0a1ae49d5e5911dec"
"25" 221 23 23.2 253.2 "5f9c78df95b8ea139eb50832"
"26" 222 21 31.3 241.3 "603c7ab16aac09a248f51fc9"
"27" 224 20 47.3 247.3 "60fc885ecf0aa0e2a50996a7"
"28" 225 15 53.1 203.1 "5f1eba6ba65ce801eaaeb562"
"29" 227 4 95.7 135.7 "610ce0a48fc7e68abc4070c1"
"30" 228 19 35.1 225.1 "61072832734b7e60ed3226d8"
"31" 229 12 81.4 201.4 "61139d8782033795403d1bee"
"32" 230 20 32.3 232.3 "6100a099f0e51e2ddf3a7f8f"
"33" 231 23 16.1 246.1 "60ede9d2318a73b73b4a2227"
"34" 232 22 55 275 "\\"I found it difficult t"
